runId,timestampStart,timestampEnd,methodName,modelName,seed,experimentCaseId,experimentCobwebsEnabled,experimentCobwebRoomChance,experimentCobwebChancePerFloorTile,initialCobwebCount,configuredRoomCount,generatedRoomCount,maxSteps,maxActionsPerPlan,success,failureReason,initialTreeCount,finalTreeCount,treesCut,stepsTaken,apiCalls,bumpCount,doorInteractionCount,corridorTraversalCount,discoveredRoomCount,durationSeconds
20260616_195509_313_seed101_case2_local_bc,2026-06-16 19:55:09,2026-06-16 19:55:41,local_bc,Llama-3.1-8B-LoRA,101,2,False,0.500,0.400,0,6,6,30,4,True,success,1,0,1,13,13,0,0,0,0,31.94
20260616_195613_567_seed102_case2_local_bc,2026-06-16 19:56:13,2026-06-16 19:56:30,local_bc,Llama-3.1-8B-LoRA,102,2,False,0.500,0.400,0,6,7,30,4,True,success,1,0,1,7,7,0,0,0,0,17.29
20260616_195646_552_seed106_case2_local_bc,2026-06-16 19:56:46,2026-06-16 19:57:00,local_bc,Llama-3.1-8B-LoRA,106,2,False,0.500,0.400,0,6,7,30,4,True,success,1,0,1,6,6,0,0,0,0,13.60
20260616_195708_016_seed107_case2_local_bc,2026-06-16 19:57:08,2026-06-16 19:57:39,local_bc,Llama-3.1-8B-LoRA,107,2,False,0.500,0.400,0,6,7,30,4,True,success,1,0,1,13,13,6,0,0,1,31.65
20260616_195747_672_seed109_case2_local_bc,2026-06-16 19:57:47,2026-06-16 19:58:24,local_bc,Llama-3.1-8B-LoRA,109,2,False,0.500,0.400,0,6,6,30,4,True,success,1,0,1,15,15,5,0,0,1,36.68
